jid;timestamp;duration;
11;1592409306.594145;0.008821;
13;1592409306.621135;0.010967;
14;1592409306.621139;0.006914;
16;1592409306.629187;0.006914;
18;1592409306.656133;0.008106;
19;1592409306.656135;0.00596;
111;1592409306.68217;0.007153;
122;1592409306.724128;0.00906;
123;1592409306.724131;0.00596;
124;1592409306.732391;0.006914;
126;1592409306.782409;0.007153;
130;1592409306.832615;0.011206;
131;1592409306.832615;0.791073;
132;1592409306.832615;0.795126;
133;1592409306.833397;0.00906;
134;1592409306.833397;0.013113;
140;1592409306.95321;0.006914;
143;1592409307.03111;0.006914;
145;1592409307.352573;0.010014;
146;1592409307.352573;0.79298;
147;1592409307.352573;0.79608;
148;1592409307.353357;0.008821;
149;1592409307.353357;0.011921;
151;1592409307.380095;0.010014;
152;1592409307.380099;0.00596;
158;1592409307.454087;0.00596;
162;1592409307.63407;0.013113;
163;1592409307.634077;0.00596;
165;1592409308.062524;0.010014;
166;1592409308.062524;0.799894;
167;1592409308.062524;0.801802;
168;1592409308.063315;0.00906;
169;1592409308.063315;0.010967;
175;1592409308.154043;0.010014;
181;1592409308.212282;0.007153;
182;1592409308.212282;0.010014;
184;1592409308.592475;0.008106;
185;1592409308.592475;1.018047;
186;1592409308.592475;1.0221;
187;1592409308.592475;0.012159;
188;1592409308.593484;0.00906;
189;1592409308.593484;1.021147;
190;1592409308.593484;0.013113;
191;1592409308.594496;0.00906;
192;1592409308.594496;1.010895;
193;1592409308.594496;1.014948;
194;1592409308.595498;0.008821;
195;1592409308.595498;0.012875;
196;1592409308.596488;0.00906;
197;1592409308.596488;1.142025;
198;1592409308.596488;1.146078;
199;1592409308.596488;2.003908;
1100;1592409308.597621;0.00906;
1101;1592409308.597621;0.870943;
1102;1592409308.597621;0.013113;
1103;1592409308.598483;0.008821;
1142;1592409308.624012;0.011921;
1143;1592409308.624015;0.008821;
1144;1592409308.632466;0.010014;
1145;1592409308.632466;1.022816;
1146;1592409308.632466;1.026869;
1147;1592409308.63348;0.008821;
1148;1592409308.63348;0.996828;
1149;1592409308.63348;1.99604;
1150;1592409308.63348;2.001047;
1151;1592409308.63348;0.012875;
1152;1592409308.634469;0.007868;
1153;1592409308.634469;1.00708;
1154;1592409308.634469;1.012087;
1155;1592409308.635467;0.00906;
1156;1592409308.635467;0.014067;
1157;1592409308.636466;0.00906;
1158;1592409308.636466;1.132011;
1159;1592409308.636466;1.137018;
1160;1592409308.636466;1.138926;
1161;1592409308.636466;2.006054;
1162;1592409308.636466;2.014875;
1163;1592409308.637589;0.00906;
1164;1592409308.637589;0.883102;
1165;1592409308.637589;0.891924;
1166;1592409308.637589;0.014067;
1167;1592409308.637589;0.015974;
1168;1592409308.638465;0.007153;
1169;1592409308.638465;0.015974;
1204;1592409308.691008;0.011921;
1205;1592409308.69101;0.010014;
1209;1592409308.852457;0.00906;
1210;1592409308.852457;0.011921;
1211;1592409308.852457;0.014067;
1215;1592409308.883998;0.010014;
1219;1592409308.973035;0.00596;
1222;1592409309.003992;0.011921;
1223;1592409309.012221;0.008821;
